mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,rms_mean,tempo,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,mood,filename,file_id,file_id_clean
-219.58002,93.73948,94.51654,36.81447,-22.287144,24.059038,-3.5697682,13.497957,-5.122365,14.729903,3.3700151,13.673422,3.3929868,10.691646,9.190696,9.585668,-4.4176364,10.458214,-4.216494,8.10749,-9.238174,8.448295,-4.676817,9.502524,-7.9165945,8.943236,2138.210893975188,2280.4420687580273,4523.322648086784,0.09525339226973684,0.05976601,95.703125,0.30868125,0.31416258,0.51638436,0.27322108,0.3001597,0.23620974,0.26864308,0.3794226,0.25585386,0.22096203,0.18901362,0.32683063,sad,"161_Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video).wav",161,161
-238.97949,114.986946,148.28413,46.33845,32.60338,27.15319,16.918571,16.930607,5.4229646,13.7283,1.6851468,14.499416,-10.541245,12.333377,5.175245,13.129147,-8.73254,11.400898,-8.653086,9.630068,-5.384373,10.541162,-7.3003187,9.940916,-1.8704237,10.113852,1149.8008520225746,1398.378922947258,2043.6876421004256,0.05680124383223684,0.14628015,112.34714673913044,0.249714,0.309771,0.17640674,0.20353286,0.20416477,0.4051316,0.16235699,0.17374519,0.3092829,0.18078214,0.24326785,0.12774251,sad,162_Lewis Capaldi - Someone You Loved.wav,162,162
-193.62456,68.967766,150.81126,55.426205,-22.73288,37.491577,11.695861,15.833052,6.65505,16.918915,-9.614752,12.13747,-3.7591283,11.528266,-10.445794,10.731178,-7.045667,10.426449,-9.854731,8.065281,-15.920085,9.914291,-7.458302,9.009646,-11.941593,9.619861,1560.1596742261368,1706.2827956138688,3307.4300004232778,0.06115080180921053,0.096369125,99.38401442307692,0.2733656,0.27168772,0.22874664,0.3142806,0.20882903,0.26318485,0.3148803,0.21287084,0.26600173,0.2739107,0.52131283,0.47186786,sad,163_Loreen - Tattoo.wav,163,163
-265.54205,116.30737,99.33924,54.050713,8.588275,25.481974,10.089862,20.779175,10.523587,14.095997,6.5740366,16.137243,-3.3217103,13.435045,9.458506,11.44472,0.20905127,12.416105,4.956954,10.086741,-2.3730528,9.414478,-3.5510595,10.886104,-5.978169,11.821922,1836.3455374174835,2148.1844303542334,3731.435769851732,0.0759787544746517,0.07987949,112.34714673913044,0.36714202,0.32338923,0.35786796,0.37146732,0.5610131,0.41157812,0.31114706,0.41746837,0.29509053,0.3188284,0.26786435,0.33282474,sad,164_Lukas Graham - Love Someone [Official Music Video].wav,164,164
-179.4277,74.826645,122.78489,49.749264,-2.6459432,27.263987,15.8046665,18.41999,-2.9278433,12.106087,7.316387,11.673748,-12.005591,12.818498,-2.4598687,12.260342,-10.113677,9.730183,-7.2755427,8.433651,-7.976015,8.650042,-9.822979,8.464889,-8.206558,7.9563146,1658.6059875556684,1933.466368376232,3425.4792865953946,0.0680555219620743,0.13036743,92.28515625,0.19666822,0.26202163,0.19454803,0.3307052,0.19406304,0.19933371,0.3628451,0.23180027,0.23514803,0.19317874,0.32050854,0.32467273,sad,165_Maroon 5 - Memories (Official Video).wav,165,165
-164.31784,81.74616,103.56855,39.519753,18.612223,20.049269,28.946817,19.517048,-1.1582793,16.38817,11.059142,12.879932,-1.9088331,11.394804,3.6724982,9.0448475,-9.113993,10.086754,-0.10843467,9.743164,-4.5310907,9.470972,1.4181958,8.341348,-7.9439793,10.419528,1766.185328078649,2134.896194846525,3591.4532829733457,0.06828719100715944,0.17043366,112.34714673913044,0.18527885,0.3875405,0.27191904,0.25381294,0.34526446,0.27207592,0.32635126,0.2579043,0.35122246,0.38986522,0.25273308,0.25398576,sad,166_Niall Horan - This Town (Official Lyric Video).wav,166,166
-209.98863,106.12009,125.868805,49.820526,8.294352,31.474827,8.581057,18.791508,-4.150134,16.621534,-1.9329294,14.7771015,-1.4892462,12.138071,-14.626276,12.853817,-10.253276,10.780623,-11.029043,10.728932,-12.7610235,11.21085,-10.956005,9.970668,-10.70519,11.4131565,1483.28116911671,1853.5565257625922,2768.199927740422,0.057288391302244585,0.13394716,151.99908088235293,0.29048765,0.40940914,0.282114,0.2622847,0.16580522,0.24478112,0.24407114,0.12783088,0.17212327,0.16935855,0.3112272,0.30339593,sad,167_Olivia Rodrigo - happier (Lyric Video).wav,167,167
-239.3034,107.71897,129.95125,39.49084,19.875874,17.538435,14.607812,12.839969,9.063675,11.557967,7.5993366,10.150345,-6.5804734,11.368855,0.5773236,9.760274,-8.098019,13.85198,-3.7071211,9.332366,-3.626428,9.165307,0.291973,6.72585,-5.4569993,7.816324,1440.830305022237,1990.7512477211994,2832.8995365107394,0.05767463235294118,0.08313461,161.4990234375,0.37280548,0.22676624,0.42784142,0.49504048,0.2213156,0.20775472,0.21402842,0.42295483,0.29320318,0.31597814,0.43867043,0.31177834,sad,168_One-Direction-Story-of-My-Life.wav,168,168
-302.16864,63.10652,105.60276,31.84569,14.5363865,18.765207,33.730194,13.187058,1.9850516,11.9339285,22.264336,15.462284,-2.594729,9.841775,6.04819,10.171093,2.801384,7.7666883,1.503538,7.989425,-1.7016492,6.4889293,2.308522,6.806414,-0.74062675,7.0501895,1890.3694849469548,2279.6206650313165,4296.240687886997,0.07592319925503097,0.02874315,151.99908088235293,0.49982038,0.47319064,0.49165973,0.5404573,0.529492,0.5102249,0.4851677,0.5372734,0.6621982,0.5858167,0.6151399,0.57054,sad,169_Sam-Smith-I_m-Not-The-Only-One-_Official-Music-Video_.wav,169,169
-157.43958,110.45281,106.56116,38.033638,4.7815566,17.872173,20.434889,14.100527,-3.3873851,12.08429,9.875187,9.351841,-5.848858,10.593183,-1.0184087,8.523553,-11.5206375,9.059411,-3.3584974,9.592974,-0.26034096,7.4571676,-3.1465845,7.4983697,-4.4680367,6.3673387,1953.8785289467974,2255.1631263151403,4228.682763067192,0.08113443002612229,0.12479527,89.10290948275862,0.1845658,0.14989775,0.31706837,0.30809376,0.23272838,0.33218676,0.2468095,0.37357435,0.30457246,0.48497468,0.5030036,0.18502747,sad,170_Take-That-Patience-_Official-Video_.wav,170,170
